ratio_of_positive_carc,number_of_experiments_carc,cas_number,substance_name,use_carc,positive_carc,positive_stringent_carc,negative_carc,negative_stringent_carc,ratio_of_positive_mut,number_of_experiments_mut,use_mut,positive_mut,positive_stringent_mut,negative_mut,negative_stringent_mut,positive,positive_stringent,negative,negative_stringent,use,smiles
1.0,1.0,100-00-5,P-CHLORONITROBENZENE,INTERMEDIATES,1.0,0.0,0.0,0.0,0.1,30.0,INTERMEDIATES,0.0,0.0,1.0,1.0,1,0,0,0,"INTERMEDIATES,INTERMEDIATES",[O-][N+](=O)c1ccc(Cl)cc1
0.0,3.0,100-01-6,P-NITROANILINE,INTERMEDIATES,0.0,0.0,1.0,0.0,0.2345679012345679,81.0,INTERMEDIATES,0.0,0.0,0.0,0.0,0,0,0,0,"INTERMEDIATES,INTERMEDIATES",Nc1ccc(cc1)[N+]([O-])=O
0.0,2.0,100-02-7,P-NITROPHENOL,,0.0,0.0,1.0,0.0,0.02702702702702703,37.0,,0.0,0.0,1.0,1.0,0,0,1,0,",",Oc1ccc(cc1)[N+]([O-])=O
1.0,1.0,100-40-3,4-VINYLCYCLOHEXENE,,1.0,0.0,0.0,0.0,0.0,24.0,,0.0,0.0,1.0,1.0,1,0,0,0,",",C=CC1CCC=CC1
0.6666666666666666,6.0,100-41-4,ETHYLBENZENE,,1.0,1.0,0.0,0.0,0.04,25.0,,0.0,0.0,1.0,1.0,1,1,0,0,",",CCc1ccccc1
0.1935483870967742,31.0,100-42-5,STYRENE,INTERMEDIATES,0.0,0.0,1.0,1.0,0.015625,64.0,INTERMEDIATES,0.0,0.0,1.0,1.0,0,0,1,1,"INTERMEDIATES,INTERMEDIATES",C=Cc1ccccc1
0.0,1.0,100-43-6,4-VINYLPYRIDINE,,0.0,0.0,1.0,0.0,0.0,9.0,,0.0,0.0,1.0,1.0,0,0,1,0,",",C=Cc1ccncc1
0.8,5.0,100-44-7,BENZYL CHLORIDE,INTERMEDIATES,1.0,1.0,0.0,0.0,0.18032786885245902,61.0,INTERMEDIATES,0.0,0.0,1.0,1.0,1,1,0,0,"INTERMEDIATES,INTERMEDIATES",ClCc1ccccc1
0.0,4.0,100-51-6,BENZYL ALCOHOL,FOOD ADDITIVE (FLAVORING AGENT),0.0,0.0,1.0,1.0,0.17142857142857143,35.0,FOOD ADDITIVE (FLAVORING AGENT),0.0,0.0,1.0,1.0,0,0,1,1,"FOOD ADDITIVE (FLAVORING AGENT),FOOD ADDITIVE (FLAVORING AGENT)",OCc1ccccc1
0.5,4.0,100-52-7,BENZALDEHYDE,FOOD ADDITIVES (FLAVORING AGENTS ; FRAGRANCES) ; INTERMEDIATES (FOOD ADDITIVES) ; SOLVENTS,0.0,0.0,0.0,0.0,0.0625,64.0,FOOD ADDITIVES (FLAVORING AGENTS ; FRAGRANCES) ; INTERMEDIATES (FOOD ADDITIVES) ; SOLVENTS,0.0,0.0,1.0,1.0,0,0,0,0,"FOOD ADDITIVES (FLAVORING AGENTS ; FRAGRANCES) ; INTERMEDIATES (FOOD ADDITIVES) ; SOLVENTS,FOOD ADDITIVES (FLAVORING AGENTS ; FRAGRANCES) ; INTERMEDIATES (FOOD ADDITIVES) ; SOLVENTS",O=Cc1ccccc1
