name,cas,chemcode,species,td50_log_min,td50_min,td50_log_mean,td50_mean,td50_log_median,td50_median,td50_harmonic,td50_log_harmonic,smiles,carc_class_multi,carc_class
1-AZOXYPROPANE,17697-55-1,1ap,r,-3.42021640338319,0.00038,6.849703397475225,2.857142857142857e+30,-2.133122185662501,0.00736,0.0011736506132784279,0.0011731536301183246,CCC[N-][N+](=O)CCC,4.0,1.0
"1,1-DIALLYLHYDRAZINE",5164-11-4,1dh,m,1.4099331233312946,25.7,9.142171307964356,2.5e+30,1.8656815495220065,80.05,64.03531964526006,5.322691197259095,C=CCN(N)CC=C,3.0,1.0
1-METHYLNAPHTHALENE,90-12-0,1mn,m,2.303196057420489,201.0,17.00658042025511,4.999999999999999e+30,17.390518469310567,5e+30,1066.72124762166,12.284373665911795,Cc1cccc2ccccc12,1.0,0.0
1-NAPHTHYLAMINE,134-32-7,1na,m,1.8280150642239767,67.3,1.8280150642239767,67.3,1.8280150642239767,67.3,67.3,4.223909766576744,Nc1cccc2ccccc12,3.0,1.0
1-NITROBUTANE,627-05-4,1ni,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,CCCC[N+](=O)[O-],0.0,0.0
1-NITROPROPANE,108-03-2,1np,r,-0.05948351506743278,0.872,27.54894627610362,8.888888888888886e+30,31.0,1e+31,7.848,5.272551176614421,CCC[N+](=O)[O-],3.0,1.0
"1,1,1-TRICHLOROETHANE, TECHNICAL GRADE",71-55-6,1te,m,2.3541084391474008,226.0,18.969125664281922,5.499999999999998e+30,31.0,1e+31,3208.770782143154,17.261757755849505,CC(Cl)(Cl)Cl,0.0,0.0
2-METHOXY-4-AMINOAZOBENZENE,80830-39-3,2ab,m,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,COc1cc(N)ccc1N=Nc1ccccc1,0.0,0.0
DICHLOROACETIC ACID,79-43-6,2ca,m,1.69284691927723,49.3,5.475869656917913,5.7200000000000006e+29,2.383815365980431,242.0,187.73166669810115,5.951227776996642,O=C(O)C(Cl)Cl,3.0,1.0
"1,2-DICHLOROETHANE",7572-29-4,2dc,m,-0.3316140833099998,0.466,10.387922911665951,2.975206611570248e+30,2.2810333672477277,191.0,5.948600839091836,2.816983028789095,ClCCCl,3.0,1.0
2-ETHYLHEXANOL,104-76-7,2eh,m,3.225309281725863,1680.0,17.1145763480295,5e+30,17.116498055196075,5e+30,3389.734513274336,13.46884811214283,CCCCC(CC)CO,1.0,0.0
"5,5-DIMETHYLBARBITURIC ACID",24448-94-0,2mb,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,CC1(C)C(=O)NC(=O)NC1=O,0.0,0.0
DIMETHADIONE,695-53-4,2md,r,31.0,1e+31,31.0,1e+31,31.0,1e+31,1e+31,71.38013788281542,CC1(C)OC(=O)NC1=O,0.0,0.0
2-METHYLNAPHTHALENE,91-57-6,2mn,m,2.311753861055754,205.0,15.556411443649388,4.444444444444444e+30,3.782472624166286,6060.0,1283.3861702810839,11.894452320203177,Cc1ccc2ccccc2c1,1.0,0.0
