,name,lr,device,num_viz,patience,grover_fp,out_feats,use_wandb,batch_size,ff_dropout,group_name,model_type,num_epochs,conv_stride,gnn_dropout,max_seq_len,num_workers,print_every,random_seed,project_note,use_mut_loss,ff_num_layers,gat_num_heads,gnn_pool_type,use_carc_loss,viz_layer_idx,wandb_run_dir,conv_pool_size,conv_pool_type,fix_pt_weights,gnn_num_layers,mut_loss_ratio,separate_heads,conv_num_layers,ff_hidden_feats,lr_decay_factor,conv_kernel_size,conv_num_kernels,cross_validation,fraction_of_data,gnn_hidden_feats,mut_pre_training,gradient_clip_norm,network_weight_decay,number_of_parameters,cpdb_train_continuous,early_stopping_metric,training_mut_datasets,training_carc_datasets,held_out_test_mut_datasets,held_out_test_carc_datasets,test_mut_loss,validation_mut_pr_auc,training_mutagenic_loss,final_valid_carc_pearson_r2,final_valid_loss,test_mut_roc_auc,test_carc_pearson_r2,held_out_test_mut_loss,held_out_test_carc_roc_auc_score,_step,_timestamp,test_carc_rmse,training_mut_pr_auc,final_valid_carc_loss,test_carc_loss,training_mut_roc_auc,validation_mut_roc_auc,held_out_test_carc_loss,held_out_test_mut_pr_auc,held_out_test_carc_pr_auc_score,_runtime,training_carc_rmse,final_valid_mut_loss,final_valid_carc_rmse,final_valid_mut_roc_auc,training_carcinogenic_loss,training_loss,held_out_test_loss,training_carc_pearson_r2,validation_carc_pearson_r2,epoch,validation_carc_rmse,test_loss,test_mut_pr_auc,validation_loss,validation_mut_loss,validation_carc_loss,final_valid_mut_pr_auc,held_out_test_mut_roc_auc,training_carc_nan
0,2021_07_19_02_33_45_2,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,False,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,False,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.7038175463676453,0.7766139848045444,0,0.012104920693137,0.6329224407672882,0.43491502145922745,0.03640214205306291,0.688763439655304,0.603531445080741,53,1626676974,0.9861821532249452,NaN,0.43860818445682526,0.8811456561088562,NaN,0.5994164537167703,0.6853278279304504,0.2832257671798267,0.5602483755163379,65,0.9605956077575684,0.7162000238895416,0.7303025722503662,0.45421831496243176,0.918717896938324,0.27561538219451903,0.6877327859401703,0.15509305012102167,0.040359517867682104,53,0.7450183629989624,0.7570159733295441,0.5446589060597217,0.6201605498790741,0.6720613539218903,0.49905872344970703,0.6376630754228712,0.3976370170709793,
1,2021_07_19_02_33_45_1,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,False,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,False,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.7033354341983795,0.3740360057399454,0,0.15903223143106782,0.5864234268665314,0.5626496600273077,0.1353803320276767,0.6764091551303864,0.7077335809730176,176,1626676902,1.111815094947815,NaN,0.33904217183589935,1.1151818633079529,NaN,0.4844798258147921,0.6421244740486145,0.3327752225345547,0.7011906496401084,255,0.8761154413223267,0.6924439966678619,0.6829660534858704,0.47789684969721713,0.7571534276008606,0.2271460324525833,0.6661237478256226,0.25446656194167333,0.15626087069821268,176,0.6847507357597351,0.8268893659114838,0.6211019924937236,0.6332276463508606,0.6923021972179413,0.4953869730234146,0.3710369110965969,0.5026609763402216,
2,2021_07_19_02_33_45_0,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,False,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,False,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.674870640039444,0.5723385550247277,0,0.1184403049761118,0.7987357974052429,0.5970008577364238,0.0707424585607314,0.7012343406677246,0.6753598514161896,156,1626676640,1.0773597955703735,NaN,1.071159601211548,1.4089245200157166,NaN,0.5396389793239811,0.6524636149406433,0.34233730288122927,0.6337465885962028,194,0.8503221273422241,0.6819827258586884,1.0866717100143433,0.5310268123476571,0.7503725409507751,0.2251117706298828,0.6866031289100647,0.18883055821703687,0.11867332944853,156,1.0964500904083252,0.8950868248939514,0.46592739042902886,0.7804876863956451,0.7061265110969543,0.9539971053600312,0.5651293411947367,0.4824573225516621,
3,2021_07_19_02_06_27_2,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,False,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,True,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.5841562449932098,0.8628229089026653,0,0.1316054863791599,0.6370154023170471,0.7802094420600859,0.15284031657616834,0.6230814158916473,0.7144146932879327,407,1626676415,0.9268784523010254,NaN,0.9436158388853072,0.984635293483734,NaN,0.7559594187421335,0.6368708610534668,0.579598605810098,0.6809268417705039,504,0.9486382603645324,0.5056152045726776,0.7131943106651306,0.7795034135550554,0.8947141289710998,0.26841425001621244,0.6272182464599609,0.17562282971372997,0.0594026904851984,72,0.7860061526298523,0.7042999565601349,0.8151909348008289,0.683850884437561,0.5594807863235474,0.9740478098392488,0.8763922108144448,0.7366921233902367,NaN
4,2021_07_19_02_06_27_1,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,False,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,True,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.5398507416248322,0.6823728025617205,0,0.16472714475934774,0.5338928699493408,0.7827330922763418,0.11598268403540392,0.6375588774681091,0.7280348759221998,427,1626675905,1.1413002014160156,NaN,0.45364442467689514,1.3953982591629028,NaN,0.7513642239912908,0.6289249956607819,0.5392147757745774,0.6938652245559057,524,0.8457099199295044,0.5682850480079651,0.6812620162963867,0.7518779342723005,0.7093010663986206,0.21279032826423644,0.6349687278270721,0.30553692872060007,0.16301963426788454,299,0.6831448674201965,0.796515017747879,0.8334589084601496,0.5661310851573944,0.5897533893585205,0.5110123753547668,0.6817830462635186,0.7040446241389638,NaN
5,2021_07_19_02_06_27_0,0.0001,cuda:0,0,50,none,2,True,1024,0.2,,gin_pt2,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,True,3,4,avg,True,-1,/scratch/gobi2/phil/,4,max,False,2,0.7,False,3,128,0.7,5,32,True,1,32,True,10000,0,2122478,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.5737453699111938,0.7883504504595651,0,0.12195347902999172,0.6959102749824524,0.746524210670502,0.13058997261215274,0.6097387671470642,0.6862456792034256,424,1626675375,1.0130648612976074,NaN,1.001367598772049,1.0896063446998596,NaN,0.7897028994153443,0.6601893901824951,0.5749649934574999,0.6380285203295264,568,0.80417400598526,0.5649999976158142,1.1072872877120972,0.7915182300100567,0.6381877422332763,0.19145633280277252,0.6248739659786224,0.25851294686268755,0.11932671985691014,230,1.114612102508545,0.7285036444664001,0.6432875882559891,0.8334475457668304,0.5974028706550598,1.384218454360962,0.7899633517251137,0.7336702605570531,NaN
6,2021_07_19_02_01_39_2,0.0001,cuda:0,0,50,none,2,True,1024,0.1,,gat,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,False,2,2,avg,True,-1,/scratch/gobi2/phil/,4,max,True,4,0.7,False,3,1024,0.7,5,32,True,1,64,False,10000,0,1241090,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.6982573866844177,0.5902268819874995,0,0.01106972892446892,0.6145084500312805,0.3823467811158797,0.05685773594836045,0.6968568861484528,0.4875406283856988,51,1626674776,0.9993106126785278,NaN,0.40842363238334656,0.7321881800889969,NaN,0.33004309851634317,0.6919596493244171,0.2720011706230858,0.4658377272095282,53,1.0027127265930176,0.7028305232524872,0.7436263561248779,0.3246233647354972,0.9947415113449096,0.29842246174812315,0.6953877210617065,0.10666286449915252,0.013157991288872852,51,0.8158387541770935,0.7084366381168365,0.49185431663623985,0.7312105894088745,0.7844153940677643,0.6070660650730133,0.5986994146162898,0.3559284216831387,
7,2021_07_19_02_01_39_1,0.0001,cuda:0,0,50,none,2,True,1024,0.1,,gat,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,False,2,2,avg,True,-1,/scratch/gobi2/phil/,4,max,True,4,0.7,False,3,1024,0.7,5,32,True,1,64,False,10000,0,1241090,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.6994070410728455,0.39087413145275673,0,0.0346104571867912,0.6514849364757538,0.5811852044982058,0.07744475148568411,0.6968546807765961,0.6879739978331528,117,1626674717,1.1513748168945312,NaN,0.5235460251569748,1.0967905521392822,NaN,0.4927706334626114,0.6431377530097961,0.36886759896276267,0.6876058893052412,116,0.9533253908157348,0.7063158750534058,0.7394886016845703,0.495090834864258,0.8949600696563721,0.2684880316257477,0.6807396113872528,0.1356222260728665,0.030857643267576788,117,0.7519029378890991,0.8186221122741699,0.6397004527257912,0.6845279335975647,0.6996713578701019,0.6491932272911072,0.39460060008641673,0.5738125187181792,
8,2021_07_19_02_01_39_0,0.0001,cuda:0,0,50,none,2,True,1024,0.1,,gat,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,False,2,2,avg,True,-1,/scratch/gobi2/phil/,4,max,True,4,0.7,False,3,1024,0.7,5,32,True,1,64,False,10000,0,1241090,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.7135177552700043,0.5682039230659308,0,0.024399412784604443,0.8234383761882782,0.4596994335025977,0.04815925665395195,0.738363653421402,0.6706392199349946,58,1626674594,1.0206583738327026,NaN,1.1525877714157104,1.1625981330871582,NaN,0.5687439275913205,0.6597633361816406,0.4466258504396279,0.6158467303762475,72,0.8864544630050659,0.6823743879795074,1.1441783905029297,0.6025491332435612,0.7819594979286194,0.23458786010742189,0.7147835791110992,0.13176563479624215,0.06711966133385394,58,1.1579471826553345,0.8482418656349182,0.3872202266626415,0.6902121305465698,0.6856426894664764,0.7008741982281208,0.598426887981378,0.594052111410602,
9,2021_07_19_01_46_46_2,0.0001,cuda:0,0,50,none,2,True,1024,0.1,,gat,500,1,0.1,500,1,100,8333,_does_mut_pre_training_help,False,2,2,avg,True,-1,/scratch/gobi2/phil/,4,max,True,4,0.7,False,3,1024,0.7,5,32,True,1,64,True,10000,0,1241090,True,"['rmse', 'carc']",['mut_hansen'],['carc_cpdb'],"['mut_li', 'mut_ccris']",['carc_ccris'],0.5550159811973572,0.8835591461103723,0,0.007765725625372072,0.5812501013278961,0.7382729613733906,0.1117390115586589,0.6435977220535278,0.6266315843780633,136,1626674489,0.9434913992881776,NaN,0.6390614807605743,0.7470788061618805,NaN,0.7688279491971471,0.6675512194633484,0.5079870828812875,0.626483642939871,145,0.955274760723114,0.5564737915992737,0.7511293888092041,0.7687211564132881,0.9428472399711608,0.28285418152809144,0.6507837772369385,0.17069115364649665,0.01310957834473282,54,0.8044439554214478,0.6126348376274109,0.7747505014075956,0.5670569241046906,0.560084730386734,0.5833254158496857,0.880238092741809,0.6761665169212339,NaN
